day,volume,high_low,volatility,marketcap,up_or_down_pre,momentum,up_or_down,CPI CHNG Index,PCE DEFM Index,VIX Index,USGG10YR Index,USGG2YR Index,NYCNM1IR Index,CSIIUSD Index,ECSURPUS Index,CONSSENT Index,NAPMPMI Index,AHE YOY% Index,MSXAMSIL Index,SPX Index,CCMP Index,LIBOR
2020-09-23,14087800096.614824,1.497469566733514,21.021388051085996,38681388763.859604,-1.0464606872238846,0.5333333333333333,0.0,0.4,0.3,28.58,0.67,0.14,3.0,14.82,0.69,74.1,55.4,4.8,0.43,3236.92,10632.99,0.08038
2020-09-24,14066523754.719643,4.859369338836643,21.015835506378522,36388550351.057274,22.19730634023881,0.5333333333333333,0.0,0.4,0.3,28.51,0.67,0.13,3.0,14.82,0.69,74.1,55.4,4.8,0.28,3246.59,10672.27,0.08075
2020-09-25,15311431812.906868,2.787984220864246,21.16912136677511,39237201185.87508,-26.610412170233133,0.5,1.0,0.4,0.3,26.38,0.65,0.13,3.0,14.82,0.66,74.1,55.4,4.8,0.26,3298.46,10913.56,0.08013
2020-09-26,13627150546.779629,2.4680681884238425,21.13344962258669,39639095850.366,-4.321553445467771,0.5333333333333333,1.0,0.4,0.3,26.38,0.65,0.13,3.0,14.82,0.66,74.1,55.4,4.8,0.26,3298.46,10913.56,0.08013
2020-09-27,12450557505.549173,5.000478793964419,21.081467372379883,40504233720.56574,-3.4077139842742667,0.5333333333333333,1.0,0.4,0.3,26.38,0.65,0.13,3.0,14.82,0.66,74.1,55.4,4.8,0.26,3298.46,10913.56,0.08013
2020-09-28,13631183276.47775,2.3853971025850456,21.108514632092756,40407623980.40212,1.2562532470956853,0.5666666666666667,0.0,0.4,0.3,26.19,0.65,0.13,3.0,14.82,0.68,74.1,55.4,4.8,0.27,3351.6,11117.53,0.08163
2020-09-29,14145550857.237898,1.7624917911406897,21.01540908176976,40072614163.692665,3.9202784620608213,0.5333333333333333,0.0,0.4,0.3,26.27,0.65,0.12,3.0,14.82,0.7,74.1,55.4,4.8,0.28,3335.47,11085.25,0.08175
2020-09-30,11480967162.565882,2.125961814347818,20.97810645882318,40379882359.39613,-4.76743170850574,0.5,1.0,0.2,0.2,26.37,0.68,0.13,2.98,23.97,0.8,80.4,55.4,4.8,0.29,3363.0,11167.51,0.078
2020-10-01,12007383140.335423,1.3106530276233457,20.502833490113545,40626496363.57937,-2.356115372020099,0.5,1.0,0.2,0.2,26.7,0.68,0.13,2.98,23.97,0.81,80.4,55.4,4.8,0.35,3380.8,11326.51,0.08175
2020-10-02,13829404570.128979,2.038662315501938,20.462244758473414,39707854326.21522,7.147049988633512,0.5,0.0,0.2,0.2,27.63,0.7,0.13,2.98,23.97,0.82,80.4,55.4,4.8,0.38,3348.44,11075.02,0.08125
2020-10-03,15073058285.086243,1.5864474663287638,19.450925642895037,38925789402.65873,5.694035011516803,0.4666666666666667,0.0,0.2,0.2,27.63,0.7,0.13,2.98,23.97,0.82,80.4,55.4,4.8,0.38,3348.44,11075.02,0.08125
2020-10-04,10492578152.857672,1.3361513785926036,18.96935776048319,39221800890.241234,-1.6611744821062189,0.4666666666666667,1.0,0.2,0.2,27.63,0.7,0.13,2.98,23.97,0.82,80.4,55.4,4.8,0.38,3348.44,11075.02,0.08125
2020-10-05,11069243537.772959,2.4772739671644786,16.18542798912332,40005341048.07584,-5.213654898848802,0.5,1.0,0.2,0.2,27.96,0.78,0.14,2.98,23.97,0.82,80.4,55.4,4.8,0.45,3408.63,11332.49,0.08138
2020-10-06,11698376031.853104,2.2250597169555135,16.234392066610987,39806775187.90035,0.46756372267981305,0.5333333333333333,0.0,0.2,0.2,29.48,0.74,0.15,2.98,23.97,0.82,80.4,55.4,4.8,0.47,3360.95,11154.6,0.0815
2020-10-07,12913032465.66813,1.6115436176319804,13.366733470169368,38340222247.616264,11.679800506037168,0.5333333333333333,0.0,0.2,0.2,28.06,0.79,0.15,2.98,23.97,0.77,80.4,55.4,4.8,0.53,3419.45,11364.6,0.08175
2020-10-08,12376681701.943909,1.8317999900401105,13.20466458320921,38426915655.37373,-2.453386143681996,0.5,1.0,0.2,0.2,26.36,0.79,0.15,2.98,23.97,0.77,80.4,55.4,4.8,0.67,3446.83,11420.98,0.08263
2020-10-09,13031496135.3881,2.2615138256044816,13.132158097608112,39480899984.62699,-10.793549334915213,0.5333333333333333,1.0,0.2,0.2,25.0,0.77,0.15,2.98,23.97,0.79,80.4,55.4,4.8,0.81,3477.13,11579.94,0.08175
2020-10-10,14217612155.655788,2.4217995761911197,13.100528386730657,41451442205.46528,-15.789696137458634,0.5666666666666667,1.0,0.2,0.2,25.0,0.77,0.15,2.98,23.97,0.79,80.4,55.4,4.8,0.81,3477.13,11579.94,0.08175
2020-10-11,12822111148.651747,2.3652253542897483,13.0915432654859,41821470781.30466,-3.909413140452955,0.5666666666666667,1.0,0.2,0.2,25.0,0.77,0.15,2.98,23.97,0.79,80.4,55.4,4.8,0.81,3477.13,11579.94,0.08175
2020-10-12,12001791516.369331,1.5657029478243203,12.905210016627608,42257007934.90182,-4.547737584545246,0.5666666666666667,1.0,0.2,0.2,25.07,0.77,0.15,2.98,23.97,0.79,80.4,55.4,4.8,0.91,3534.22,11876.26,0.08175
2020-10-13,16141608720.923914,2.245354590554655,12.91759062614251,43668675855.03823,-13.081306174530084,0.5666666666666667,1.0,0.2,0.2,26.07,0.73,0.14,2.98,23.97,0.79,80.4,55.4,4.8,0.96,3511.93,11863.9,0.08
2020-10-14,15126153063.64151,4.184127765652647,12.901144990401482,43520033578.700584,4.540071537655365,0.5666666666666667,0.0,0.2,0.2,26.4,0.73,0.14,2.98,23.97,0.79,80.4,55.4,4.8,0.97,3488.67,11768.73,0.08088
2020-10-15,12836888456.027199,1.05850497315555,12.000915461599442,42800960131.84521,5.956892267957414,0.5666666666666667,0.0,0.2,0.2,26.97,0.73,0.14,2.98,23.97,0.83,80.4,55.4,4.8,0.93,3483.34,11713.87,0.08125
2020-10-16,15328688321.710356,1.77825845987428,11.606476085785475,42773989530.16473,0.8711439114991322,0.5333333333333333,0.0,0.2,0.2,27.41,0.75,0.14,2.98,23.97,0.85,80.4,55.4,4.8,0.87,3483.81,11671.56,0.08113
2020-10-17,14774148285.71484,1.5266895083785812,11.102134827914998,41210143985.26022,12.439672274081204,0.5333333333333333,0.0,0.2,0.2,27.41,0.75,0.14,2.98,23.97,0.85,80.4,55.4,4.8,0.87,3483.81,11671.56,0.08113
2020-10-18,10931625848.651905,1.6952557887676107,10.681249134642462,41804400961.09515,-4.152348855642913,0.5,1.0,0.2,0.2,27.41,0.75,0.14,2.98,23.97,0.85,80.4,55.4,4.8,0.87,3483.81,11671.56,0.08113
2020-10-19,11268689292.360357,3.9047971583229355,10.643826627453691,42417619899.053314,-8.681569995173504,0.5,1.0,0.2,0.2,29.18,0.77,0.15,2.98,23.97,0.84,80.4,55.4,4.8,0.76,3426.92,11478.88,0.08088
2020-10-20,12555376164.103123,1.190714967832207,10.677394753759021,42848035713.18105,-4.551743672125724,0.5333333333333333,1.0,0.2,0.2,29.35,0.79,0.14,2.98,23.97,0.83,80.4,55.4,4.8,0.7,3443.12,11516.49,0.08038
